cpf,nome_completo,data_nascimento,sexo,email_institucional,matricula,data_admissao,status_funcionario
18159083016,Felipe Vieira Santos,1993-10-04,M,felipe.santos1@ifro.edu.br,IF202082226,2017-10-14,ativo
90996030824,Vitor Gomes Rocha,1993-10-20,M,vitor.rocha2@ifro.edu.br,IF202084830,2018-08-14,ativo
99351819093,Caio Araujo Almeida,1997-04-08,M,caio.almeida3@ifro.edu.br,IF202351175,2024-08-18,ativo
32319487574,Rafael Correia Moreira,2002-04-26,M,rafael.moreira4@ifro.edu.br,IF202464804,2020-09-22,ativo
60189555979,Mateus Rodrigues Castro,1995-06-19,M,mateus.castro5@ifro.edu.br,IF202272141,2017-10-09,ativo
97465075291,Carolina Santos Moreira,1997-02-22,F,carolina.moreira6@ifro.edu.br,IF202226952,2017-08-30,ativo
12768426846,Mariana Vieira Castro,1991-02-04,F,mariana.castro7@ifro.edu.br,IF202129781,2024-08-28,ativo
07924402685,Felipe Rocha Rocha,2002-05-10,M,felipe.rocha8@ifro.edu.br,IF202177566,2023-07-13,ativo
86666176031,Vitória Santos Farias,1984-05-13,F,vitoria.farias9@ifro.edu.br,IF202054571,2021-12-10,ativo
28159013962,Daniela Silva Azevedo,2003-06-17,F,daniela.azevedo10@ifro.edu.br,IF202457731,2022-11-15,ativo
77412154728,Eduardo Castro Farias,1976-01-14,M,eduardo.farias11@ifro.edu.br,IF202229215,2019-04-21,ativo
14852538885,Ana Tavares Moreira,2003-07-20,F,ana.moreira12@ifro.edu.br,IF202141377,2022-10-19,ativo
87500474395,Heloisa Rocha Barbosa,1995-01-23,F,heloisa.barbosa13@ifro.edu.br,IF202220556,2025-02-09,ativo
53799075116,Igor Freitas Barbosa,1983-12-10,M,igor.barbosa14@ifro.edu.br,IF202393341,2022-05-13,ativo
61222029729,Diego Vieira Farias,2001-09-23,M,diego.farias15@ifro.edu.br,IF202230435,2025-01-16,ativo
18263304348,Elisa Souza Silva,1985-10-15,F,elisa.silva16@ifro.edu.br,IF202243995,2025-07-26,ativo
79868282880,Elisa Santos Teixeira,1994-09-29,F,elisa.teixeira17@ifro.edu.br,IF202410515,2025-09-16,ativo
79180588871,Elisa Araujo Rodrigues,2000-02-18,F,elisa.rodrigues18@ifro.edu.br,IF202146296,2018-10-08,ativo
80175989834,Eduardo Campos Lima,1995-04-17,M,eduardo.lima19@ifro.edu.br,IF202376552,2022-09-13,ativo
83726167513,Zoe Tavares Alves,1994-03-19,F,zoe.alves20@ifro.edu.br,IF202549685,2017-10-27,ativo
42731672326,Elisa Correia Rodrigues,1998-02-16,F,elisa.rodrigues21@ifro.edu.br,IF202335656,2021-07-13,ativo
58770658948,Daniel Correia Souza,1977-11-19,M,daniel.souza22@ifro.edu.br,IF202021018,2018-04-08,ativo
26462889751,Carlos Araujo Monteiro,1987-07-09,M,carlos.monteiro23@ifro.edu.br,IF202165747,2017-08-24,inativo
