cpf_funcionario,telefone,tipo_telefone
18159083016,92941114025,Celular
90996030824,93940502542,Celular
99351819093,35916867490,Celular
32319487574,38996562034,Celular
60189555979,4444561492,Residencial
60189555979,92942009505,Celular
97465075291,64923928492,Celular
97465075291,62923635161,Celular
12768426846,49914872150,Celular
12768426846,28957667332,Celular
07924402685,1320024498,Residencial
07924402685,4622148700,Residencial
86666176031,82942525420,Celular
86666176031,71964491248,Celular
28159013962,32926551179,Celular
77412154728,95940868330,Celular
77412154728,98931457868,Celular
14852538885,31944871007,Celular
87500474395,6520804452,Residencial
87500474395,43926431689,Celular
53799075116,47911566389,Celular
61222029729,81924764419,Celular
18263304348,53970407089,Celular
79868282880,3339813223,Residencial
79180588871,43960924741,Celular
80175989834,53935964220,Celular
83726167513,8144722286,Residencial
42731672326,28993945180,Celular
58770658948,82990445807,Celular
58770658948,99921263070,Celular
26462889751,21943411271,Celular
26462889751,19983025080,Celular
14193141705,42996993155,Celular
14193141705,24983786422,Celular
24023448347,99932991574,Celular
08838737167,9348716108,Residencial
26502014620,13922268900,Celular
07224704558,66921862233,Celular
07224704558,89917283122,Celular
17483380141,71987542272,Celular
19829657249,8521239190,Residencial
88909310025,79912032183,Celular
74071881817,3156037819,Residencial
74071881817,69984998217,Celular
61740931925,22994301488,Celular
07413748477,24947712849,Celular
07413748477,96989675191,Celular
47187463319,77943189493,Celular
84153776020,71982409164,Celular
84153776020,51951054252,Celular
51505561304,4535744597,Residencial
64041042346,67932049134,Celular
83106792470,16955353771,Celular
83106792470,31955084507,Celular
63478612213,79990916167,Celular
83312581535,89915155556,Celular
64507495288,16956056803,Celular
64020679701,13976388451,Celular
64020679701,44953644889,Celular
81718002390,1724728315,Residencial
14893643900,7748034244,Residencial
14893643900,4530483927,Residencial
38306400376,93915923934,Celular
56563048137,73995269198,Celular
56563048137,38946682428,Celular
97923760926,81984304225,Celular
67511253287,11992356621,Celular
10141561836,46930234494,Celular
87355706360,8132699797,Residencial
87355706360,68912566709,Celular
55459045440,15979045509,Celular
67272042935,14920498027,Celular
61078852611,42933018709,Celular
32679381444,9941228211,Residencial
32679381444,96924094627,Celular
32493516438,6443003692,Residencial
73750431039,54972454411,Celular
01995305520,3541475472,Residencial
01995305520,96997802872,Celular
52941307871,79917209454,Celular
64644604956,32937322079,Celular
06261169572,91976215410,Celular
95822542821,96981058807,Celular
95822542821,67978731481,Celular
09619239693,33913731583,Celular
51233080516,49956546276,Celular
51233080516,74991722718,Celular
66578720097,3245535105,Residencial
12565178800,87977739672,Celular
86201913274,4641874577,Residencial
59472487394,34966953967,Celular
45624180578,6727974574,Residencial
45624180578,4425484921,Residencial
46592551732,24925898123,Celular
46592551732,85930644287,Celular
00324966850,13968586919,Celular
54185836949,97966279237,Celular
54185836949,4439742739,Residencial
71124640085,9839713401,Residencial
71124640085,44943403826,Celular
80623201098,6323902014,Residencial
92841407806,92925846354,Celular
92841407806,82994426809,Celular
30154048684,77916694281,Celular
25365936877,91970657640,Celular
25365936877,44925539397,Celular
36991922001,6852837627,Residencial
01019538161,44965865231,Celular
47121345564,31936227645,Celular
47121345564,3456039828,Residencial
87490606815,87976474388,Celular
26083400571,21959428681,Celular
24337211781,7456971812,Residencial
24337211781,49958966534,Celular
05344688263,83997332258,Celular
05344688263,81991524493,Celular
82785277493,8220932880,Residencial
22359852353,51975799270,Celular
44643114367,45911762612,Celular
44643114367,55965849855,Celular
02496036996,99926328280,Celular
76541636246,21917397331,Celular
06710483238,38937709118,Celular
58567326819,18991027892,Celular
66594134683,83969899690,Celular
66594134683,63954195645,Celular
78325674827,64950141700,Celular
04534577691,84973891864,Celular
85900314491,82962302204,Celular
82991843738,48988255111,Celular
27780772737,53926138673,Celular
74756612500,53928851825,Celular
74756612500,85943361852,Celular
72036251557,37982553290,Celular
72036251557,85952947873,Celular
04457658485,3450073111,Residencial
04457658485,51992406056,Celular
